CellName,Current_pA,FiringRate_Hz
2023_06_22_01_0004.abf,-5,0
2023_06_22_01_0004.abf,10,0
2023_06_22_01_0004.abf,25,0
2023_06_22_01_0004.abf,40,1
2023_06_22_01_0004.abf,55,3
2023_06_22_01_0004.abf,70,5
2023_06_22_01_0004.abf,85,7
2023_06_22_01_0004.abf,100,7
2023_06_22_01_0004.abf,115,9
2023_06_22_01_0004.abf,130,10
2023_06_22_01_0004.abf,145,10
2023_06_22_01_0004.abf,160,11
2023_06_22_01_0004.abf,175,12
2023_06_22_01_0004.abf,190,13
2023_06_22_01_0004.abf,205,13
2023_06_22_01_0004.abf,220,14
2023_06_22_01_0004.abf,235,14
2023_06_22_01_0004.abf,250,15
2023_06_22_01_0004.abf,265,15
2023_06_22_01_0004.abf,280,15
2023_06_22_01_0004.abf,295,16
2023_06_22_01_0004.abf,310,16
2023_07_06_01_0005.abf,-50,0
2023_07_06_01_0005.abf,-35,0
2023_07_06_01_0005.abf,-20,0
2023_07_06_01_0005.abf,-5,0
2023_07_06_01_0005.abf,10,0
2023_07_06_01_0005.abf,25,0
2023_07_06_01_0005.abf,40,0
2023_07_06_01_0005.abf,55,0
2023_07_06_01_0005.abf,70,0.666666666666667
2023_07_06_01_0005.abf,85,1.33333333333333
2023_07_06_01_0005.abf,100,5
2023_07_06_01_0005.abf,115,6
2023_07_06_01_0005.abf,130,7
2023_07_06_01_0005.abf,145,8
2023_07_06_01_0005.abf,160,9
2023_07_06_01_0005.abf,175,10
2023_07_06_01_0005.abf,190,11
2023_07_06_01_0005.abf,205,11.3333333333333
2023_07_06_01_0005.abf,220,12.3333333333333
2023_07_06_01_0005.abf,235,13
2023_07_06_01_0005.abf,250,14
2023_07_06_01_0005.abf,265,14.6666666666667
2023_07_06_01_0005.abf,280,15
2023_07_06_01_0005.abf,295,15.3333333333333
2023_07_06_01_0005.abf,310,16
2023_07_06_04,-50,0
2023_07_06_04,-35,0
2023_07_06_04,-20,0
2023_07_06_04,-5,0
2023_07_06_04,10,0
2023_07_06_04,25,0
